ID,Name,Date,Time,Event,Status,Latitude,Longitude
AL011867,            UNNAMED,18670622,1400, L, HU,32.9,-79.7
AL071867,            UNNAMED,18671004,1500, L, HU,29.2,-91
AL071867,            UNNAMED,18671006,1500, L, HU,29.6,-83.4
AL021868,            UNNAMED,18681004,1600, L, TS,29.9,-85.4
AL021869,            UNNAMED,18690817,700, L, HU,28.1,-96.8
AL051869,            UNNAMED,18690905,1200, L, HU,29.2,-90
AL061869,            UNNAMED,18690908,2100, L, HU,41,-71.9
AL061869,            UNNAMED,18690908,2200, L, HU,41.4,-71.7
AL101869,            UNNAMED,18691004,1900, L, HU,41.3,-70.5
AL101869,            UNNAMED,18691004,2000, L, HU,41.7,-70.4
AL101869,            UNNAMED,18691004,2300, L, HU,43.7,-70.1
AL091870,            UNNAMED,18701020,1400, L, HU,24.7,-82.8
AL091870,            UNNAMED,18701020,2000, L, HU,26,-81.8
AL011871,            UNNAMED,18710604,700, L, TS,29.1,-95.1
AL021871,            UNNAMED,18710609,1700, L, TS,29.2,-95
AL031871,            UNNAMED,18710817,200, L, HU,27.1,-80.2
AL031871,            UNNAMED,18710823,0, L, TS,31.2,-81.4
AL041871,            UNNAMED,18710825,500, L, HU,27.1,-80.3
AL061871,            UNNAMED,18710906,1400, L, HU,29.2,-83
AL071871,            UNNAMED,18711005,1600, L, TS,30,-83.9
AL011872,            UNNAMED,18720711,500, L, TS,29.1,-89.1
AL011872,            UNNAMED,18720711,800, L, TS,30.2,-89
AL051872,            UNNAMED,18721023,800, L, TS,27.9,-82.7
AL051872,            UNNAMED,18721025,100, L, TS,34.4,-77.7
AL011873,            UNNAMED,18730602,1100, L, TS,30.8,-81.4
AL031873,            UNNAMED,18730919,1500, L, HU,29.9,-84.4
AL041873,            UNNAMED,18730923,1000, L, TS,27.8,-82.8
AL051873,            UNNAMED,18731007,100, L, HU,26.5,-82.2
AL011874,            UNNAMED,18740704,2000, L, TS,28.5,-96.2
AL061874,            UNNAMED,18740928,300, L, HU,29.1,-82.9
AL061874,            UNNAMED,18740928,1800, L, HU,32.8,-80
AL031875,            UNNAMED,18750916,2100, L, HU,27.7,-97.2
AL041875,            UNNAMED,18750927,1300, L, TS,30.1,-85.7
AL021876,            UNNAMED,18760917,1400, L, HU,34.4,-77.6
AL051876,            UNNAMED,18761020,500, L, HU,25.8,-81.4
AL021877,            UNNAMED,18770918,1600, L, HU,29.2,-91
AL021877,            UNNAMED,18770919,2000, L, HU,30.4,-86.6
AL041877,            UNNAMED,18771003,500, L, HU,30,-85.5
AL071877,            UNNAMED,18771026,2100, L, TS,29.3,-83.2
AL011878,            UNNAMED,18780702,1500, L, TS,26,-81.8
AL051878,            UNNAMED,18780907,2100, L, TS,24.7,-80.9
AL051878,            UNNAMED,18780908,200, L, TS,25.2,-81
AL051878,            UNNAMED,18780910,1100, L, HU,28.6,-82.6
AL051878,            UNNAMED,18780912,1200, L, HU,32.5,-80.4
AL081878,            UNNAMED,18781010,2100, L, TS,29.9,-85.4
AL111878,            UNNAMED,18781023,400, L, HU,34.8,-77.1
AL021879,            UNNAMED,18790818,1200, L, HU,34.5,-76.8
AL021879,            UNNAMED,18790819,600, L, HU,41.4,-70.8
AL031879,            UNNAMED,18790823,200, L, HU,29.6,-94.4
AL041879,            UNNAMED,18790901,1600, L, HU,29.5,-91.4
AL051879,            UNNAMED,18791007,500, L, TS,29,-89.2
AL061879,            UNNAMED,18791016,800, L, TS,30.4,-86.6
AL071879,            UNNAMED,18791027,2100, L, TS,29,-82.7
AL011880,            UNNAMED,18800624,1500, L, TS,28.7,-95.7
AL021880,            UNNAMED,18800813,100, L, HU,25.8,-97
AL041880,            UNNAMED,18800829,1200, L, HU,28.2,-80.6
AL041880,            UNNAMED,18800831,400, L, HU,29.7,-84.8
AL061880,            UNNAMED,18800908,1600, L, TS,29.8,-83.6
AL061880,            UNNAMED,18800909,1000, L, HU,34.7,-77.1
AL091880,            UNNAMED,18801008,1900, L, HU,28.7,-83
AL111880,            UNNAMED,18801023,800, L, EX,41.3,-70
AL111880,            UNNAMED,18801023,1300, L, EX,44,-68.8
AL011881,            UNNAMED,18810803,1300, L, TS,30.2,-88.3
AL021881,            UNNAMED,18810813,2100, L, TS,28,-96.9
AL051881,            UNNAMED,18810828,200, L, HU,31.7,-81.1
AL061881,            UNNAMED,18810909,1600, L, HU,33.9,-78.1
AL021882,            UNNAMED,18820910,200, L, HU,30.4,-86.8
AL031882,            UNNAMED,18820915,500, L, TS,29.8,-93.7
AL041882,            UNNAMED,18820922,2200, L, TS,34.7,-77
AL041882,            UNNAMED,18820924,500, L, TS,40.7,-72.8
AL061882,            UNNAMED,18821011,400, L, HU,29.5,-83.3
AL031883,            UNNAMED,18830911,1300, L, HU,33.9,-78.5
AL031884,            UNNAMED,18840911,100, L, TS,31.6,-81.2
AL021885,            UNNAMED,18850825,1200, L, HU,32.6,-80.1
AL031885,            UNNAMED,18850830,2300, L, TS,30.1,-85.7
AL041885,            UNNAMED,18850921,300, L, TS,29,-89.4
AL041885,            UNNAMED,18850921,1200, L, TS,30,-85.6
AL061885,            UNNAMED,18850926,400, L, TS,29.6,-89
AL081885,            UNNAMED,18851011,2200, L, TS,29.4,-83.2
AL011886,            UNNAMED,18860614,1600, L, HU,29.6,-94.2
AL021886,            UNNAMED,18860621,1100, L, HU,30.1,-84
AL031886,            UNNAMED,18860630,2100, L, HU,29.7,-85.2
