year,latitude,longitude,sea_surface_temp
1851,41.25,-65.13,14.4
1851,38.95,-62.93,19.4
1851,42.58,-60.0,18.9
1851,40.73,-63.25,14.4
1851,37.75,-72.08,13.3
1851,40.38,-73.83,10.0
1851,11.52,-64.45,
1851,31.53,-72.53,
1851,17.65,-51.87,25.6
1851,19.59,-73.47,
1851,29.15,-74.92,
1851,40.59,-68.65,13.3
1851,24.43,-67.8,24.4
1851,40.8,-68.67,10.6
1851,24.92,-80.12,
1851,39.42,-71.38,18.9
1851,40.47,-70.57,15.0
1851,29.75,-50.67,27.8
1851,28.47,-90.32,22.2
1851,43.38,-53.0,
1851,27.22,-58.92,26.7
1851,39.85,-72.07,8.9
1851,37.57,-70.57,19.4
1851,41.42,-64.92,
1851,43.22,-54.0,15.6
1851,37.3,-65.33,18.3
1851,15.73,-54.47,
1851,43.52,-58.67,14.4
1851,20.6,-63.63,25.6
1851,44.52,-50.82,12.2
1851,40.78,-66.5,13.9
1851,34.1,-50.67,26.1
1851,27.87,-80.2,21.7
1851,29.77,-62.52,
1851,36.75,-61.33,21.7
1851,43.3,-59.37,10.6
1851,43.53,-55.15,17.8
1851,41.37,-61.58,13.9
1851,24.4,-62.45,22.2
1851,25.1,-60.28,28.3
1851,26.52,-79.47,
1851,36.75,-73.33,12.2
1851,45.23,-52.15,11.7
1851,35.02,-53.78,24.4
1851,42.42,-64.9,2.2
1851,35.1,-57.63,
1851,21.62,-62.67,26.1
1851,39.2,-63.78,21.1
1851,39.4,-55.5,17.8
1851,26.88,-71.87,23.3
1851,15.0,-68.62,
1851,23.77,-83.5,
1851,32.15,-70.7,21.1
1851,40.5,-72.52,
1851,29.97,-72.42,21.7
1851,15.72,-97.93,27.8
1851,42.08,-68.32,16.7
1851,22.57,-58.23,28.3
1851,39.82,-52.52,12.2
1851,41.58,-63.83,11.7
1851,35.68,-70.33,
1851,42.83,-55.0,16.7
1851,41.18,-61.6,14.4
1851,44.47,-56.2,17.2
1851,33.0,-74.93,28.9
1851,38.33,-63.75,24.4
1851,27.27,-88.2,29.4
1851,40.33,-69.8,17.2
1851,40.4,-69.25,10.0
1851,37.15,-66.68,
1851,37.83,-65.25,23.9
1851,26.77,-73.97,20.6
1851,35.15,-70.85,18.9
1851,34.28,-72.05,
1851,41.47,-65.75,19.4
1851,38.88,-66.48,20.0
1851,27.65,-88.4,
1851,2.38,-90.35,
1851,29.95,-74.72,26.7
1851,41.47,-65.35,14.4
1851,26.9,-88.47,25.0
1851,35.67,-50.88,
1851,13.63,-51.5,24.4
1851,34.03,-72.55,21.7
1851,39.23,-73.33,
1851,39.87,-69.85,21.1
1851,33.67,-72.0,
1851,39.68,-71.6,16.7
1851,28.82,-92.17,25.6
1851,40.0,-64.0,15.0
1851,8.88,-99.77,26.7
1851,37.17,-70.93,14.4
1851,40.32,-65.55,18.9
1851,42.18,-61.47,
1851,42.33,-63.67,14.4
1851,45.18,-55.23,18.3
1851,23.42,-61.77,28.3
1851,39.72,-60.37,16.7
1851,44.27,-51.42,16.1
1851,37.92,-64.62,
1851,13.75,-75.67,26.7
1851,39.53,-67.22,16.1
1851,25.9,-85.73,27.8
1851,22.75,-57.2,
1851,39.0,-74.33,
1851,19.6,-73.47,
1851,34.97,-60.07,
1851,24.0,-62.0,27.2
1851,20.58,-67.6,
1851,40.45,-71.27,12.2
1851,40.78,-57.57,22.8
1851,42.8,-66.27,15.6
1851,36.73,-68.47,22.8
1851,38.98,-72.33,
1851,7.95,-78.58,26.7
1851,34.32,-69.28,
1851,40.0,-58.0,10.0
1851,1.17,-91.55,20.6
1851,22.15,-70.33,27.8
1851,35.6,-67.07,18.9
1851,28.93,-64.8,
1851,39.17,-53.13,22.2
1851,40.08,-64.63,24.4
1851,14.3,-50.82,27.8
1851,28.97,-59.33,22.2
1851,41.65,-62.17,10.0
1851,33.83,-55.38,20.0
1851,25.95,-85.18,24.4
1851,36.55,-63.5,
1851,28.22,-87.95,
1851,39.68,-73.75,
1851,31.43,-76.67,22.2
1851,40.75,-70.75,
1851,6.93,-51.15,
1851,42.4,-62.75,6.7
1851,25.98,-72.47,
1851,25.85,-55.83,29.4
1851,42.88,-58.0,16.1
1851,38.55,-60.05,23.3
1851,17.68,-80.88,
1851,42.8,-65.03,15.6
1851,22.25,-56.4,
1851,33.67,-56.85,18.9
1851,20.02,-73.72,
1851,14.42,-51.62,
1851,40.42,-73.93,21.1
1851,35.83,-58.2,18.9
1851,40.22,-52.67,17.2
1851,44.47,-52.0,10.6
1851,30.48,-72.18,
1851,33.27,-50.13,26.7
1851,38.2,-73.77,
1851,33.28,-72.75,18.3
1851,24.37,-57.62,
1851,25.88,-84.63,21.1
1851,41.27,-53.03,14.4
1851,36.95,-71.75,26.1
1851,2.9,-93.37,26.1
1851,42.58,-55.68,19.4
1851,39.8,-62.32,15.6
1851,31.67,-78.3,
1851,39.63,-52.47,15.6
1851,34.72,-69.0,
1851,38.02,-61.03,22.2
1851,38.38,-63.0,
1851,32.08,-71.0,22.8
1851,41.72,-64.15,14.4
1851,31.95,-71.4,20.0
1851,46.67,-55.55,
1851,43.0,-58.7,15.6
1851,26.33,-61.87,
1851,30.77,-68.17,
1851,29.67,-76.58,
1851,29.25,-70.75,
1851,42.72,-56.25,15.3
1851,26.45,-62.37,25.6
1851,40.55,-62.82,19.4
1851,37.5,-58.0,25.0
1851,36.13,-70.58,17.8
1851,45.0,-53.53,
1851,42.83,-55.3,4.4
1851,40.7,-74.0,
1851,32.0,-76.5,
1851,16.25,-52.62,27.8
1851,40.55,-66.5,18.9
1851,35.5,-74.6,25.0
1851,28.93,-74.93,19.4
1851,35.35,-69.0,17.8
1851,19.75,-50.55,24.4
1851,28.98,-61.07,27.8
1851,36.07,-70.45,19.4
1851,35.57,-73.83,22.8
1851,34.45,-70.92,21.1
1851,40.5,-68.23,10.6
1851,1.78,-81.4,
1851,33.12,-68.28,18.3
1851,25.3,-53.63,25.6
1851,16.17,-86.73,
1851,23.65,-81.82,27.8
1851,18.47,-51.8,26.7
1851,32.13,-69.37,20.6
1851,32.2,-61.22,29.4
1851,16.62,-54.9,28.3
1851,23.68,-65.47,
1851,28.67,-56.0,22.8
1851,39.17,-67.25,
1851,43.4,-53.0,16.7
1851,28.03,-87.1,24.4
1851,44.77,-53.78,2.2
1851,40.53,-70.0,5.0
1851,33.77,-58.28,25.0
1851,33.45,-75.02,
1851,46.25,-52.63,
1851,40.4,-64.73,18.9
1851,38.0,-66.28,20.6
1851,33.7,-57.35,
1851,36.07,-57.57,22.2
1851,40.78,-59.27,11.1
1851,41.43,-64.02,18.3
1851,33.35,-71.05,
1851,17.95,-52.22,26.7
1851,13.18,-94.03,26.7
1851,34.1,-67.83,
1851,26.5,-86.0,
1851,23.78,-87.45,
1851,18.12,-52.17,27.8
1851,34.83,-73.0,
1851,32.03,-77.57,27.2
1851,24.3,-82.75,25.6
1851,42.75,-54.6,5.6
1851,36.63,-60.0,
1851,32.97,-76.92,26.1
1851,39.9,-62.88,12.2
1851,13.52,-93.07,
1851,38.47,-71.5,8.9
1851,45.98,-53.22,5.0
1851,26.02,-60.35,
1851,40.43,-72.82,15.6
1851,34.08,-69.58,
1851,42.77,-58.75,16.1
1851,29.68,-66.95,20.6
1851,25.52,-61.4,28.9
1851,36.27,-72.33,
1851,39.82,-54.0,20.0
1851,30.67,-59.08,26.7
1851,39.95,-70.5,16.1
1851,41.83,-56.82,20.6
1851,40.7,-63.67,8.9
1851,27.42,-86.4,25.6
1851,21.87,-55.0,
1851,35.07,-60.58,
1851,38.42,-72.0,
1851,6.62,-93.62,26.1
1851,36.78,-73.08,12.2
1851,38.88,-72.17,18.9
1851,39.78,-60.48,
1851,28.33,-85.32,22.8
1851,46.0,-50.0,8.3
1851,36.33,-70.0,26.1
1851,41.67,-66.17,15.0
1851,5.12,-78.07,
1851,38.92,-69.83,
1851,37.27,-60.65,22.8
1851,23.6,-66.3,26.1
1851,20.73,-56.48,24.4
1851,15.65,-72.5,26.1
1851,24.37,-80.75,25.0
1851,25.8,-72.58,
1851,42.77,-60.33,5.6
1851,22.33,-61.35,27.2
1851,42.22,-57.17,20.6
1851,43.85,-58.75,3.9
1851,14.97,-54.83,25.6
1851,2.11,-90.62,
1851,31.0,-59.0,22.2
1851,40.25,-73.33,3.3
1851,35.88,-51.82,17.2
1851,26.73,-63.12,28.9
1851,38.3,-71.5,14.4
1851,30.5,-66.78,22.2
1851,41.47,-68.0,7.8
1851,28.83,-67.72,
1851,44.92,-57.33,7.8
1851,23.92,-82.77,25.0
1851,19.9,-74.22,
1851,39.17,-64.32,14.4
1851,28.28,-79.5,
1851,41.25,-56.47,11.1
1851,0.48,-97.35,23.3
1851,42.37,-56.35,22.2
1851,43.33,-57.92,1.7
1851,35.65,-52.53,25.0
1851,32.97,-68.77,
1851,33.32,-52.47,20.0
1851,26.6,-84.82,21.7
1851,17.53,-69.9,
1851,26.9,-87.83,27.2
1851,40.0,-52.0,12.2
1851,15.43,-99.32,28.3
1851,22.82,-62.68,23.3
1851,14.83,-61.58,
1851,29.18,-65.07,27.8
1851,39.03,-60.0,15.6
1851,7.25,-81.75,27.2
1851,33.13,-53.33,
1851,8.0,-96.15,25.6
1851,23.6,-56.77,28.3
1851,42.18,-60.85,8.9
1851,41.92,-66.32,11.1
1851,38.03,-74.43,
1851,41.6,-65.35,10.0
1851,38.0,-70.6,24.4
1851,24.75,-79.33,25.0
1851,35.7,-73.28,
1851,10.03,-55.42,
1851,28.67,-65.42,28.3
1851,33.1,-72.13,
1851,40.62,-69.53,17.8
1851,29.98,-60.37,
